Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00    100.12     0.00     3140     0.00     0.00  get_bits1
  0.00    100.12     0.00     2890     0.00     0.00  ff_mpa_l2_select_table
  0.00    100.12     0.00     2881     0.00     0.00  av_rescale
  0.00    100.12     0.00     2881     0.00     0.00  get_audio_frame_size
  0.00    100.12     0.00     2879     0.00     0.00  ff_combine_frame
  0.00    100.12     0.00     1779     0.00     0.00  init_get_bits
  0.00    100.12     0.00     1778     0.00     0.00  ff_er_frame_start
  0.00    100.12     0.00     1778     0.00     0.00  ff_find_unused_picture
  0.00    100.12     0.00     1778     0.00     0.00  ff_set_qscale
  0.00    100.12     0.00     1778     0.00     0.00  free_frame_buffer
  0.00    100.12     0.00     1777     0.00     0.00  ff_er_add_slice
  0.00    100.12     0.00     1777     0.00     0.00  ff_er_frame_end
  0.00    100.12     0.00     1776     0.00     0.00  ff_hardcodedcpuflags
  0.00    100.12     0.00     1775     0.00     0.00  ff_print_debug_info
  0.00    100.12     0.00     1775     0.00     0.00  get_consumed_bytes
  0.00    100.12     0.00     1774     0.00     0.00  yuv2rgb_c_24_rgb
  0.00    100.12     0.00     1658     0.00     0.00  init_get_bits
  0.00    100.12     0.00      766     0.00     0.00  av_next_option
  0.00    100.12     0.00      367     0.00     0.00  av_find_opt
  0.00    100.12     0.00      367     0.00     0.00  av_set_number2
  0.00    100.12     0.00      315     0.00     0.00  av_set_int
  0.00    100.12     0.00      297     0.00     0.00  decode_user_data
  0.00    100.12     0.00      180     0.00     0.00  av_realloc
  0.00    100.12     0.00      116     0.00     0.00  has_codec_parameters
  0.00    100.12     0.00      100     0.00     0.00  file_read
  0.00    100.12     0.00      100     0.00     0.00  fill_buffer
  0.00    100.12     0.00       60     0.00     0.00  av_gcd
  0.00    100.12     0.00       56     0.00     0.00  add_to_pktbuf
  0.00    100.12     0.00       48     0.00     0.00  av_set_double
  0.00    100.12     0.00       36     0.00     0.00  avcodec_get_frame_defaults
  0.00    100.12     0.00       32     0.00     0.00  build_table
  0.00    100.12     0.00       32     0.00     0.00  init_vlc_sparse
  0.00    100.12     0.00       19     0.00     0.00  av_match_ext
  0.00    100.12     0.00       12     0.00     0.00  av_reduce
  0.00    100.12     0.00        8     0.00     0.00  ff_fill_linesize
  0.00    100.12     0.00        8     0.00     0.00  file_seek
  0.00    100.12     0.00        8     0.00     0.00  url_fskip
  0.00    100.12     0.00        8     0.00     0.00  url_seek
  0.00    100.12     0.00        6     0.00     0.00  avcodec_default_free_buffers
  0.00    100.12     0.00        6     0.00     0.00  ff_is_hwaccel_pix_fmt
  0.00    100.12     0.00        5     0.00     0.00  av_log
  0.00    100.12     0.00        5     0.00     0.00  av_log_default_callback
  0.00    100.12     0.00        5     0.00     0.00  av_vlog
  0.00    100.12     0.00        5     0.00     0.00  ff_fill_pointer
  0.00    100.12     0.00        5     0.00     0.00  ff_id3v2_match
  0.00    100.12     0.00        5     0.00     0.00  init_rl
  0.00    100.12     0.00        5     0.00     0.00  init_vlc_rl
  0.00    100.12     0.00        4     0.00     0.00  av_d2q
  0.00    100.12     0.00        4     0.00     0.00  av_get_bits_per_pixel
  0.00    100.12     0.00        4     0.00     0.00  av_set_pts_info
  0.00    100.12     0.00        4     0.00     0.00  av_set_q
  0.00    100.12     0.00        3     0.00     0.00  av_metadata_free
  0.00    100.12     0.00        3     0.00     0.00  avcodec_get_chroma_sub_sample
  0.00    100.12     0.00        3     0.00     0.00  avpicture_fill
  0.00    100.12     0.00        3     0.00     0.00  pat_cb
  0.00    100.12     0.00        2     0.00     0.00  MPV_common_defaults
  0.00    100.12     0.00        2     0.00     0.01  MPV_common_end
  0.00    100.12     0.00        2     0.00     0.00  MPV_decode_defaults
  0.00    100.12     0.00        2     0.00     0.00  av_get_bits_per_sample
  0.00    100.12     0.00        2     0.00     0.00  av_hwaccel_next
  0.00    100.12     0.00        2     0.00     0.01  av_new_stream
  0.00    100.12     0.00        2     0.00     0.00  av_opt_set_defaults
  0.00    100.12     0.00        2     0.00     0.00  av_parser_close
  0.00    100.12     0.00        2     0.00     0.00  av_parser_init
  0.00    100.12     0.00        2     0.00     0.00  av_update_stream_timings
  0.00    100.12     0.00        2     0.00     0.00  avcodec_align_dimensions2
  0.00    100.12     0.00        2     0.00     0.00  avcodec_alloc_context
  0.00    100.12     0.00        2     0.00     0.01  avcodec_alloc_context2
  0.00    100.12     0.00        2     0.00     0.01  avcodec_close
  0.00    100.12     0.00        2     0.00     0.00  avcodec_default_get_format
  0.00    100.12     0.00        2     0.00     0.00  avcodec_find_decoder
  0.00    100.12     0.00        2     0.00     0.01  avcodec_get_context_defaults2
  0.00    100.12     0.00        2     0.00     0.01  avcodec_open
  0.00    100.12     0.00        2     0.00     0.00  avcodec_set_dimensions
  0.00    100.12     0.00        2     0.00     0.00  decode_init
  0.00    100.12     0.00        2     0.00     0.00  ff_codec_get_id
  0.00    100.12     0.00        2     0.00     0.00  ff_find_hwaccel
  0.00    100.12     0.00        2     0.00     0.01  ff_h263_decode_end
  0.00    100.12     0.00        2     0.00     0.00  ff_h263_decode_init
  0.00    100.12     0.00        2     0.00     0.00  ff_mpeg4_get_video_packet_prefix_length
  0.00    100.12     0.00        2     0.00     0.00  h263_decode_init_vlc
  0.00    100.12     0.00        2     0.00     0.00  skip_bits
  0.00    100.12     0.00        2     0.00     0.00  sws_format_name
  0.00    100.12     0.00        2     0.00     0.00  url_fsize
  0.00    100.12     0.00        1     0.00     0.01  MPV_common_init
  0.00    100.12     0.00        1     0.00     0.00  MPV_common_init_arm
  0.00    100.12     0.00        1     0.00     0.00  MPV_common_init_armv5te
  0.00    100.12     0.00        1     0.00     0.00  ac3_probe
  0.00    100.12     0.00        1     0.00     0.00  adts_aac_probe
  0.00    100.12     0.00        1     0.00     0.00  aea_read_probe
  0.00    100.12     0.00        1     0.00     0.00  aiff_probe
  0.00    100.12     0.00        1     0.00     0.00  amr_probe
  0.00    100.12     0.00        1     0.00     0.00  apc_probe
  0.00    100.12     0.00        1     0.00     0.00  ape_probe
  0.00    100.12     0.00        1     0.00     0.00  asf_probe
  0.00    100.12     0.00        1     0.00     0.00  au_probe
  0.00    100.12     0.00        1     0.00     0.00  av_div_q
  0.00    100.12     0.00        1     0.00     0.00  av_metadata_get
  0.00    100.12     0.00        1     0.00     0.00  av_metadata_set2
  0.00    100.12     0.00        1     0.00     0.00  av_mul_q
  0.00    100.12     0.00        1     0.00     0.55  av_open_input_stream
  0.00    100.12     0.00        1     0.00     0.01  av_probe_input_format
  0.00    100.12     0.00        1     0.00     0.00  av_strdup
  0.00    100.12     0.00        1     0.00     0.00  av_strlcpy
  0.00    100.12     0.00        1     0.00     0.00  av_strstart
  0.00    100.12     0.00        1     0.00     0.01  avformat_alloc_context
  0.00    100.12     0.00        1     0.00     0.00  avi_probe
  0.00    100.12     0.00        1     0.00     0.00  avi_read_close
  0.00    100.12     0.00        1     0.00     0.55  avi_read_header
  0.00    100.12     0.00        1     0.00     0.00  avi_read_tag
  0.00    100.12     0.00        1     0.00     0.00  avs_probe
  0.00    100.12     0.00        1     0.00     0.00  bfi_probe
